,start,end,light,deep,rem,awakening,sj_id
71,2019-06-20 22:32:30,2019-06-21 06:38:30,267.0,68.0,61.0,41.0,4
72,2019-06-21 23:12:30,2019-06-22 09:54:30,346.0,99.0,89.0,49.0,4
73,2019-06-22 19:32:00,2019-06-22 20:49:30,,,,,4
74,2019-06-23 00:10:00,2019-06-23 08:39:30,289.0,57.0,87.0,44.0,4
75,2019-06-23 22:33:30,2019-06-24 06:27:30,258.0,76.0,77.0,55.0,4
76,2019-06-24 22:46:30,2019-06-25 07:34:00,,,,,4
77,2019-06-25 23:26:00,2019-06-26 08:35:30,255.0,121.0,110.0,45.0,4
78,2019-06-26 22:27:00,2019-06-27 06:04:30,211.0,104.0,80.0,40.0,4
79,2019-06-27 23:19:30,2019-06-28 08:10:00,294.0,126.0,51.0,43.0,4
80,2019-06-29 00:51:00,2019-06-29 09:26:30,259.0,102.0,64.0,43.0,4
81,2019-06-29 23:38:00,2019-06-30 08:31:00,303.0,104.0,72.0,50.0,4
82,2019-06-30 22:53:30,2019-07-01 07:37:00,290.0,90.0,80.0,50.0,4
83,2019-07-02 00:02:30,2019-07-02 08:30:00,270.0,41.0,109.0,24.0,4
84,2019-07-03 00:47:30,2019-07-03 07:43:00,234.0,82.0,43.0,30.0,4
85,2019-07-04 01:11:30,2019-07-04 08:54:30,226.0,64.0,113.0,34.0,4
86,2019-07-05 04:50:30,2019-07-05 07:30:00,,,,,4
87,2019-07-06 01:06:00,2019-07-06 08:16:00,172.0,92.0,86.0,29.0,4
88,2019-07-06 16:29:00,2019-07-06 18:20:00,,,,,4
89,2019-07-07 00:01:30,2019-07-07 08:33:00,,,,,4
90,2019-07-07 22:57:00,2019-07-08 09:41:00,327.0,125.0,93.0,46.0,4
91,2019-07-09 00:17:30,2019-07-09 08:30:30,214.0,108.0,79.0,39.0,4
92,2019-07-09 22:54:00,2019-07-10 08:21:00,271.0,123.0,104.0,39.0,4
93,2019-07-10 22:03:00,2019-07-11 06:30:00,252.0,123.0,47.0,40.0,4
